id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,positive_mean,negative_mean
12045,1,1,1,1,1,3/27/2022,6:48:10 AM,7:48:10 AM,,22,15,16,1,26.4,16.8
12045,2,4,1,1,1,5/1/2022,7:02:29 AM,8:02:29 AM,8:02:29,27,13,27,13,28.4,15.8
12046,1,1,2,0,1,4/22/2022,11:14:40 AM,11:14:40 AM,,29,20,,,29,20
12046,2,1,2,0,1,5/22/2022,11:46:14 AM,11:46:14 AM,,30,17,,,30,17
12050,3,9,11,1,1,6/11/2022,9:58:30 AM,7:58:30 AM,,13,12,3,0,12.75,18.75
12050,2,4,1,1,1,5/8/2022,10:39:34 AM,8:39:34 AM,,12,13,1,0,15,11.75
12050,2,5,6,1,1,5/9/2022,9:26:45 AM,7:26:45 AM,,16,12,2,4,17,12.75
12050,2,6,11,1,1,5/10/2022,9:33:16 AM,7:33:16 AM,,13,11,0,1,17.75,14.75
12050,1,3,11,1,1,3/29/2022,11:39:21 AM,9:39:21 AM,,24,14,10,2,20.4,16.4
12050,1,2,6,1,1,3/28/2022,10:04:29 AM,8:04:29 AM,,21,13,3,1,21,14.2
12050,3,7,1,1,1,6/9/2022,10:14:37 AM,8:14:37 AM,,16,13,2,1,16.75,13.5
12050,1,1,1,1,1,3/27/2022,10:40:34 AM,8:40:34 AM,,16,11,6,0,21.4,13.2
12050,3,8,6,1,1,6/10/2022,11:11:55 AM,9:11:55 AM,,22,14,6,2,22.2,17.2
12057,3,9,11,1,1,7/19/2022,12:51:24 PM,10:51:24 AM,0:00:00,19,16,1,4,19.6,15.2
12057,2,6,11,1,1,6/14/2022,10:23:50 AM,8:23:50 AM,,19,15,3,3,17.5,16
12057,3,7,1,1,0,,,,,,,19,12,18.25,18.5
12057,2,5,6,1,1,6/13/2022,10:16:14 AM,8:16:14 AM,,20,14,0,2,17,13.75
12057,1,3,11,1,0,,,,,,,24,17,15.75,20
12057,1,2,6,1,1,4/25/2022,10:50:17 AM,8:50:17 AM,,17,14,0,2,17.5,20.5
12057,3,8,6,1,1,7/18/2022,12:38:30 PM,10:38:30 AM,,20,13,1,1,22,16.25
12057,2,4,1,1,0,,,,,,,18,15,22,16.5
12057,1,1,1,1,0,,,,,,,11,11,22.5,18.25
